1; 'Gravedancers, The'; 'Perla Narbett'; '1966-01-14'; 30.42
2; 'Hugh Hefner: Playboy'; 'Hazlett McLewd'; '1969-10-17'; 86.42
3; 'Koumiko Mystery'; 'Arlina Kettlesting'; '1916-03-20'; 33.99
4; 'Kiss Me, Stupid'; 'Deeann Frome'; '1935-07-10'; 70.62
5; 'Glass Key, The'; 'Winfield Titheridge'; '1901-03-31'; 72.12
6; 'Frozen City (Valkoinen kaupunki)'; 'Patricia Alejandre'; '1928-08-14'; 36.87
7; 'Louis Theroux'; 'Tedie Innot'; '2008-04-28'; 26.17
8; 'Another Nine & a Half Weeks'; 'Cathee Menghi'; '1910-04-10'; 92.41
9; 'City Below, The (Unter dir die Stadt)'; 'Fritz Dimitrov'; '1961-12-13'; 18.1
10; 'Flintstones in Viva Rock Vegas, The'; 'Lindsey Dunbobbin'; '1942-10-29'; 94.51
